Grade_level,Pronoun,Residential_location,Major,Study_location
Third Year,he/him,East,STEM,Noyce
First Year,she/her,South,STEM,HSSC
Third Year,he/him,East,STEM,Noyce
Second Year,she/her,East,STEM,HSSC
Fourth Year,he/him,Off-campus,STEM,Noyce
First Year,she/her,East,STEM,Noyce
Third Year,she/her,North,STEM,HSSC
First Year,he/him,East,STEM,Noyce
First Year,she/her,East,STEM,HSSC
Third Year,he/him,East,STEM,Dorm
Third Year,he/him,Off-campus,STEM,Dorm
First Year,they/them,South,STEM,Burling Library
Second Year,he/him,East,STEM,Noyce
First Year,she/her,East,Humanities,HSSC
First Year,she/her,North,STEM,Dorm
First Year,she/her,East,STEM,Noyce
Third Year,she/her,East,STEM,HSSC
Third Year,he/him,Off-campus,STEM,HSSC
First Year,she/her,South,STEM,HSSC
First Year,he/him,North,Humanities,Dorm
First Year,she/her,North,STEM,HSSC
First Year,she/her,South,Humanities,Burling Library
Second Year,she/her,North,STEM,Noyce
Third Year,they/them,South,STEM,Noyce
First Year,she/her,North,STEM,Noyce
Third Year,she/her,Off-campus,STEM,Noyce
Fourth Year,she/her,Off-campus,STEM,Dorm
Second Year,he/him,North,STEM,Dorm
First Year,she/her,South,Double Major,HSSC
Second Year,she/her,North,Social Science,HSSC
First Year,she/her,South,STEM,HSSC
First Year,she/her,North,STEM,HSSC
First Year,she/her,East,Social Science,Noyce
First Year,she/her,East,STEM,Dorm
First Year,he/him,North,STEM,Noyce
First Year,she/her,South,Social Science,HSSC
Second Year,he/him,North,STEM,Dorm
Second Year,she/her,North,STEM,HSSC
First Year,he/him,North,STEM,HSSC
First Year,she/her,East,STEM,HSSC
Third Year,he/him,Off-campus,Double Major,Dorm
Second Year,she/her,North,Social Science,HSSC
First Year,she/her,North,STEM,HSSC
Third Year,he/him,Off-campus,STEM,Noyce
Third Year,he/him,East,STEM,Noyce
Fourth Year,he/him,Off-campus,Social Science,Dorm
First Year,she/her,South,Humanities,HSSC
Second Year,he/him,North,STEM,Noyce
Second Year,he/him,North,Social Science,HSSC
